Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF/16V (10%)","C_0402_1005Metric",199.600000,-53.680000,90.000000,top
"C2","0.1uF/50V (10%)","C_0402_1005Metric",213.370000,-45.500000,0.000000,top
"C3","10uF/25V (20%)","C_0603_1608Metric",213.575000,-44.000000,0.000000,top
"C4","10uF/25V (20%)","C_0603_1608Metric",201.200000,-62.425000,-90.000000,top
"C5","0.1uF/50V (10%)","C_0402_1005Metric",199.600000,-61.520000,-90.000000,top
"D1","1N5819","D_SOD-123",212.350000,-41.800000,180.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",191.500000,-44.375000,180.000000,top
"J3","Conn_01x24","Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal",203.500000,-51.650000,90.000000,top
"R1","10K (1%)","R_0402_1005Metric",199.600000,-57.290000,90.000000,top
"R2","1M","R_0402_1005Metric",187.200000,-49.400000,-90.000000,top
"R3","5K11","R_0402_1005Metric",190.400000,-49.400000,-90.000000,top
"R4","5K11","R_0402_1005Metric",191.600000,-49.400000,-90.000000,top
"R5","10R","R_0402_1005Metric",199.800000,-46.090000,-90.000000,top
"SW1","tact_52x52-7","SW_tact_52x52",220.000000,-65.500000,180.000000,top
"SW2","tact_52x52-7","SW_tact_52x52",220.000000,-58.500000,180.000000,top
"SW3","tact_52x52-6","SW_tact_52x52",220.000000,-51.500000,180.000000,top
"SW4","tact_52x52-7","SW_tact_52x52",220.000000,-44.500000,180.000000,top
"U1","ESP32-C3-MINI-1","ESP32-C3-MINI-1",192.000000,-58.500000,180.000000,top
"U2","SPX3819M5-L-3-3","SOT-23-5",213.900000,-48.362500,-90.000000,top
