Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT301, GND201, PU301",TestPoint_Pad_1.5x1.5mm,3,TestPoint,
"C201, C204, C313",0402,3,10u,C315248
"C202, C203, C303, C307, C309, C311, C312, C401",0201,8,100n,C284966
"C301, C304",0201,2,3p3,C258460
"C302, C305",0201,2,10p,C272871
"C306, C308",0201,2,1u,C170153
C310,0201,1,10n,C76941
D401,WS2812B,1,WS2812B,C2976072
J201,USB_C_SINK,1,~,C2906289
J401,THD_FPC_24,1,~,C283150
"L301, L302",0201,2,2n2,C98041
"R201, R202, R301",0201,3,5K1,C274341
R302,0201,1,22R,C270355
"R304, R305, R306, R307, R308",0201,5,100R,C77623
R401,0201,1,10R,C304508
"SW101, SW102, SW103, SW104",SW_tact_52x52,4,SW_tact_52x52,C318884
U201,SOT-563,1,USBLC6-2SC6,C2827693
U202,SOT-23-5,1,SPX3819M5-L-3-3,C5370980
U301,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U302,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,ESP32-C3,C2838500
U401,SOT-23-6,1,SN74LVC1T45DBV,C168856
Y301,Crystal_SeikoEpson_FA20H,1,40Mhz,C255973
