Designator,Mid X,Mid Y,Rotation,Layer
C1,128.12,-90.7,0.0,top
C10,112.34,-80.97,0.0,top
C11,107.2,-90.45,225.0,top
C12,103.905,-89.525,180.0,top
C13,109.7,-91.745,270.0,top
C14,103.38,-90.3,180.0,top
C15,110.225,-90.475,180.0,top
C16,110.6,-82.325,90.0,top
C17,110.625,-91.93,270.0,top
C18,116.4,-78.605,270.0,top
C19,125.9,-72.93,90.0,top
C2,126.7,-90.445,90.0,top
C20,129.255,-74.55,180.0,top
C3,122.75,-93.6,90.0,top
C4,123.7,-93.4,90.0,top
C5,105.655,-90.2,180.0,top
C6,101.855,-84.55,0.0,top
C7,112.9,-93.0,180.0,top
C8,106.35,-92.4,0.0,top
C9,102.255,-88.85,180.0,top
D1,132.05,-74.5,270.0,top
D2,132.05,-81.5,270.0,top
D3,132.05,-88.5,270.0,top
D4,132.05,-95.5,270.0,top
J1,110.38,-70.0,180.0,top
J2,119.0,-82.0,270.0,top
L1,106.0,-91.3,270.0,top
L2,108.226274,-91.026274,315.0,top
R1,105.45,-79.1,0.0,top
R10,108.725,-81.48,270.0,top
R11,101.75,-81.13,90.0,top
R12,120.6,-72.3,90.0,top
R2,113.405,-79.175,180.0,top
R3,112.9,-92.2,180.0,top
R4,104.2,-87.6,270.0,top
R6,107.225,-81.48,270.0,top
R7,105.725,-81.475,270.0,top
R8,109.475,-81.48,270.0,top
R9,106.475,-81.48,270.0,top
SW1,135.5,-74.5,270.0,top
SW2,135.5,-81.5,270.0,top
SW3,135.5,-88.5,270.0,top
SW4,135.5,-95.5,270.0,top
U1,103.5,-79.95,90.0,top
U2,126.3625,-92.95,180.0,top
U3,113.9,-86.25,90.0,top
U4,107.8,-86.45,90.0,top
U5,128.4625,-72.35,180.0,top
Y1,102.25,-86.7,90.0,top
branding-logo-1,133.1,-78.0,0.0,bottom
branding-name-1,133.4,-85.0,0.0,bottom
