Designator,Footprint,Quantity,Value,LCSC Part #
"C1_6, C1_5, C1_4, C1_3, C1_2, C1, C17_6, C17_5, C17_4, C17_3, C17_2, C17, C4_6, C4_5, C4_4, C4_3, C4_2, C4",0402,18,10u,C315248
"C10_6, C10_5, C10_4, C10_3, C10_2, C10, C12_6, C12_5, C12_4, C12_3, C12_2, C12",0201,12,1u,C170153
"C11_6, C11_5, C11_4, C11_3, C11_2, C11, C13_6, C13_5, C13_4, C13_3, C13_2, C13, C15_6, C15_5, C15_4, C15_3, C15_2, C15, C16_6, C16_5, C16_4, C16_3, C16_2, C16, C18_6, C18_5, C18_4, C18_3, C18_2, C18, C19_6, C19_5, C19_4, C19_3, C19_2, C19, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C20_6, C20_5, C20_4, C20_3, C20_2, C20, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C7_6, C7_5, C7_4, C7_3, C7_2, C7",0201,60,100n,C284966
"C14_6, C14_5, C14_4, C14_3, C14_2, C14",0201,6,10n,C76941
"C5_6, C5_5, C5_4, C5_3, C5_2, C5, C8_6, C8_5, C8_4, C8_3, C8_2, C8",0201,12,3p3,C258460
"C6_6, C6_5, C6_4, C6_3, C6_2, C6, C9_6, C9_5, C9_4, C9_3, C9_2, C9",0201,12,10p,C272871
"D1_6, D1_5, D1_4, D1_3, D1_2, D1, D2_6, D2_5, D2_4, D2_3, D2_2, D2, D3_6, D3_5, D3_4, D3_3, D3_2, D3, D4_6, D4_5, D4_4, D4_3, D4_2, D4",WS2812B,24,WS2812B,C2976072
"J1_6, J1_5, J1_4, J1_3, J1_2, J1",USB_C_SINK,6,~,C2906289
"J2_6, J2_5, J2_4, J2_3, J2_2, J2",JUSHUO_FPC_24,6,~,C262669
"L1_6, L1_5, L1_4, L1_3, L1_2, L1, L2_6, L2_5, L2_4, L2_3, L2_2, L2",0201,12,2n2,C98041
"R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_6, R2_5, R2_4, R2_3, R2_2, R2, R3_6, R3_5, R3_4, R3_3, R3_2, R3",0201,18,5K1,C274341
"R10_6, R10_5, R10_4, R10_3, R10_2, R10, R6_6, R6_5, R6_4, R6_3, R6_2, R6, R7_6, R7_5, R7_4, R7_3, R7_2, R7, R8_6, R8_5, R8_4, R8_3, R8_2, R8, R9_6, R9_5, R9_4, R9_3, R9_2, R9",0201,30,100R,C77623
"R11_6, R11_5, R11_4, R11_3, R11_2, R11",0201,6,499R,C4354889
"R12_6, R12_5, R12_4, R12_3, R12_2, R12",0201,6,10R,C304508
"R4_6, R4_5, R4_4, R4_3, R4_2, R4",0201,6,22R,C270355
"SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1, SW2_6, SW2_5, SW2_4, SW2_3, SW2_2, SW2, SW3_6, SW3_5, SW3_4, SW3_3, SW3_2, SW3, SW4_6, SW4_5, SW4_4, SW4_3, SW4_2, SW4",button-oval,24,~,C720479
"U1_6, U1_5, U1_4, U1_3, U1_2, U1",SOT-563,6,USBLC6-2SC6,C2827693
"U2_6, U2_5, U2_4, U2_3, U2_2, U2",SOT-23-5,6,SPX3819M5-L-3-3,C5370980
"U3_6, U3_5, U3_4, U3_3, U3_2, U3",SOIC-8_5.23x5.23mm_P1.27mm,6,W25Q128JVS,C97521
"U4_6, U4_5, U4_4, U4_3, U4_2, U4",QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,6,ESP32-C3,C2838500
"U5_6, U5_5, U5_4, U5_3, U5_2, U5",SOT-23-6,6,SN74LVC1T45DBV,C168856
"Y1_6, Y1_5, Y1_4, Y1_3, Y1_2, Y1",crystal_2520,6,40Mhz,C409424
