Designator,Mid X,Mid Y,Rotation,Layer
C1_6,37.82,-91.0,180.0,top
C1_5,37.82,-59.0,180.0,top
C1_4,79.82,-91.0,180.0,top
C1_3,79.82,-27.0,180.0,top
C1_2,37.82,-27.0,180.0,top
C1,79.82,-59.0,180.0,top
C10_6,19.34,-17.97,0.0,top
C10_5,61.34,-49.97,0.0,top
C10_4,61.34,-81.97,0.0,top
C10_3,19.34,-49.97,0.0,top
C10_2,61.34,-17.97,0.0,top
C10,19.34,-81.97,0.0,top
C11_6,14.2,-27.45,225.0,top
C11_5,14.2,-91.45,225.0,top
C11_4,56.2,-91.45,225.0,top
C11_3,14.2,-59.45,225.0,top
C11_2,56.2,-27.45,225.0,top
C11,56.2,-59.45,225.0,top
C12_6,52.905,-58.525,180.0,top
C12_5,52.905,-90.525,180.0,top
C12_4,10.905,-26.525,180.0,top
C12_3,52.905,-26.525,180.0,top
C12_2,10.905,-58.525,180.0,top
C12,10.905,-90.525,180.0,top
C13_6,16.7,-92.745,270.0,top
C13_5,58.7,-28.745,270.0,top
C13_4,16.7,-60.745,270.0,top
C13_3,16.7,-28.745,270.0,top
C13_2,58.7,-60.745,270.0,top
C13,58.7,-92.745,270.0,top
C14_6,52.38,-59.3,180.0,top
C14_5,10.38,-91.3,180.0,top
C14_4,10.38,-59.3,180.0,top
C14_3,52.38,-27.3,180.0,top
C14_2,10.38,-27.3,180.0,top
C14,52.38,-91.3,180.0,top
C15_6,59.225,-27.475,180.0,top
C15_5,17.225,-59.475,180.0,top
C15_4,59.225,-59.475,180.0,top
C15_3,17.225,-91.475,180.0,top
C15_2,17.225,-27.475,180.0,top
C15,59.225,-91.475,180.0,top
C16_6,59.6,-51.325,90.0,top
C16_5,17.6,-19.325,90.0,top
C16_4,17.6,-51.325,90.0,top
C16_3,17.6,-83.325,90.0,top
C16_2,59.6,-19.325,90.0,top
C16,59.6,-83.325,90.0,top
C17_6,59.625,-60.93,270.0,top
C17_5,17.625,-28.93,270.0,top
C17_4,17.625,-92.93,270.0,top
C17_3,17.625,-60.93,270.0,top
C17_2,59.625,-28.93,270.0,top
C17,59.625,-92.93,270.0,top
C18_6,65.4,-15.605,270.0,top
C18_5,23.4,-15.605,270.0,top
C18_4,23.4,-47.605,270.0,top
C18_3,65.4,-47.605,270.0,top
C18_2,23.4,-79.605,270.0,top
C18,65.4,-79.605,270.0,top
C19_6,34.5,-13.095,270.0,top
C19_5,34.5,-45.095,270.0,top
C19_4,34.5,-77.095,270.0,top
C19_3,76.5,-45.095,270.0,top
C19_2,76.5,-77.095,270.0,top
C19,76.5,-13.095,270.0,top
C2_6,79.95,-26.1,180.0,top
C2_5,37.95,-90.1,180.0,top
C2_4,79.95,-58.1,180.0,top
C2_3,79.95,-90.1,180.0,top
C2_2,37.95,-26.1,180.0,top
C2,37.95,-58.1,180.0,top
C20_6,79.95,-77.95,180.0,top
C20_5,79.95,-13.95,180.0,top
C20_4,37.95,-77.95,180.0,top
C20_3,79.95,-45.95,180.0,top
C20_2,37.95,-45.95,180.0,top
C20,37.95,-13.95,180.0,top
C3_6,32.0,-61.88,90.0,top
C3_5,74.0,-93.88,90.0,top
C3_4,32.0,-93.88,90.0,top
C3_3,74.0,-29.88,90.0,top
C3_2,32.0,-29.88,90.0,top
C3,74.0,-61.88,90.0,top
C4_6,32.9,-29.72,90.0,top
C4_5,32.9,-61.72,90.0,top
C4_4,74.9,-29.72,90.0,top
C4_3,74.9,-93.72,90.0,top
C4_2,74.9,-61.72,90.0,top
C4,32.9,-93.72,90.0,top
C5_6,54.655,-59.2,180.0,top
C5_5,12.655,-27.2,180.0,top
C5_4,54.655,-27.2,180.0,top
C5_3,12.655,-91.2,180.0,top
C5_2,54.655,-91.2,180.0,top
C5,12.655,-59.2,180.0,top
C6_6,50.855,-85.55,0.0,top
C6_5,8.855,-21.55,0.0,top
C6_4,8.855,-85.55,0.0,top
C6_3,50.855,-21.55,0.0,top
C6_2,50.855,-53.55,0.0,top
C6,8.855,-53.55,0.0,top
C7_6,19.9,-94.0,180.0,top
C7_5,61.9,-30.0,180.0,top
C7_4,61.9,-94.0,180.0,top
C7_3,19.9,-30.0,180.0,top
C7_2,19.9,-62.0,180.0,top
C7,61.9,-62.0,180.0,top
C8_6,13.35,-29.4,0.0,top
C8_5,13.35,-61.4,0.0,top
C8_4,55.35,-93.4,0.0,top
C8_3,55.35,-29.4,0.0,top
C8_2,55.35,-61.4,0.0,top
C8,13.35,-93.4,0.0,top
C9_6,51.255,-57.85,180.0,top
C9_5,9.255,-57.85,180.0,top
C9_4,9.255,-25.85,180.0,top
C9_3,9.255,-89.85,180.0,top
C9_2,51.255,-25.85,180.0,top
C9,51.255,-89.85,180.0,top
D1_6,83.0,-11.5,270.0,top
D1_5,41.0,-43.5,270.0,top
D1_4,41.0,-75.5,270.0,top
D1_3,83.0,-75.5,270.0,top
D1_2,41.0,-11.5,270.0,top
D1,83.0,-43.5,270.0,top
D2_6,83.0,-50.5,270.0,top
D2_5,41.0,-18.5,270.0,top
D2_4,41.0,-50.5,270.0,top
D2_3,41.0,-82.5,270.0,top
D2_2,83.0,-82.5,270.0,top
D2,83.0,-18.5,270.0,top
D3_6,83.0,-57.5,270.0,top
D3_5,83.0,-25.5,270.0,top
D3_4,83.0,-89.5,270.0,top
D3_3,41.0,-25.5,270.0,top
D3_2,41.0,-89.5,270.0,top
D3,41.0,-57.5,270.0,top
D4_6,41.0,-96.5,270.0,top
D4_5,83.0,-32.5,270.0,top
D4_4,83.0,-96.5,270.0,top
D4_3,83.0,-64.5,270.0,top
D4_2,41.0,-64.5,270.0,top
D4,41.0,-32.5,270.0,top
J1_6,59.38,-39.0,180.0,top
J1_5,59.38,-71.0,180.0,top
J1_4,59.38,-7.0,180.0,top
J1_3,17.38,-71.0,180.0,top
J1_2,17.38,-7.0,180.0,top
J1,17.38,-39.0,180.0,top
J2_6,26.0,-83.0,270.0,top
J2_5,26.0,-19.0,270.0,top
J2_4,68.0,-19.0,270.0,top
J2_3,68.0,-83.0,270.0,top
J2_2,68.0,-51.0,270.0,top
J2,26.0,-51.0,270.0,top
L1_6,55.0,-28.3,270.0,top
L1_5,55.0,-92.3,270.0,top
L1_4,13.0,-92.3,270.0,top
L1_3,13.0,-60.3,270.0,top
L1_2,55.0,-60.3,270.0,top
L1,13.0,-28.3,270.0,top
L2_6,15.226274,-92.026274,315.0,top
L2_5,15.226274,-60.026274,315.0,top
L2_4,15.226274,-28.026274,315.0,top
L2_3,57.226274,-28.026274,315.0,top
L2_2,57.226274,-92.026274,315.0,top
L2,57.226274,-60.026274,315.0,top
R1_6,12.45,-16.1,0.0,top
R1_5,54.45,-48.1,0.0,top
R1_4,54.45,-16.1,0.0,top
R1_3,54.45,-80.1,0.0,top
R1_2,12.45,-48.1,0.0,top
R1,12.45,-80.1,0.0,top
R10_6,15.725,-18.48,270.0,top
R10_5,15.725,-82.48,270.0,top
R10_4,15.725,-50.48,270.0,top
R10_3,57.725,-50.48,270.0,top
R10_2,57.725,-18.48,270.0,top
R10,57.725,-82.48,270.0,top
R11_6,52.3,-11.18,90.0,top
R11_5,52.3,-75.18,90.0,top
